64 64 32
-1.1882753962632198e-19 -1.2587783856311244e-17 -1.6222134920016847e-17 -3.3146554907055691e-21
-1.5073875056544562e-19 -6.0959520417932307e-19 -6.1101286593904625e-18 -3.8029403738834560e-20
-1.5576854709399428e-19 -2.6205791999782474e-18 -2.0828463658419667e-18 1.0230019715118955e-20
-1.5886974193493391e-19 4.0992904086038723e-18 -4.0178673315636648e-19 -6.2722172921650188e-21
-9.1601064273264698e-20 3.5368179831883295e-18 -1.8557769194248241e-18 -1.2373854483498799e-20
-9.7942168820651663e-20 -1.9235887626871752e-18 5.4432284469783721e-19 -9.7304647506508045e-21
-8.8648205132474485e-20 2.6858638882999158e-18 7.4761885181664160e-19 -6.1700147585552751e-21
-5.0924667059000054e-20 5.2552784988822690e-19 -2.0098886590147254e-19 -5.3892262867211285e-21
-5.5298461110132872e-20 -6.8724655347986263e-20 5.2539001521510279e-19 -3.3217392297141294e-22
-3.8241028667400856e-20 1.2351247052058710e-18 -1.4843835466480003e-19 -4.7129171828069422e-22
-1.8389764011839858e-20 6.2584827483547955e-20 -3.6450861867422195e-21 1.8336541090644294e-21
-2.8816671136148114e-20 -4.0342327160958039e-19 -9.5272894102260717e-20 3.1926057421241681e-22
-2.9227801057125887e-20 2.2775722940794550e-19 -5.5884596528894742e-20 1.1009878625081536e-21
-2.6832048251890599e-20 -9.6764727592132922e-20 -1.6140212202025804e-19 3.8120189786791746e-23
-2.9089340105715835e-20 2.7647564285183178e-20 -2.4445237121861116e-20 3.6805152689508734e-23
-2.5689312641389834e-20 1.4230026945524662e-19 -9.6774777265950163e-20 -1.9549075142770463e-23
-1.9590847707996280e-20 1.6852370831162351e-19 5.9656279561657333e-20 -8.2307206215075441e-23
-1.4836765550462102e-20 9.3255496794323337e-20 3.2139234063824920e-20 -1.6686676347485200e-23
-1.1319518865786437e-20 6.9251665022221808e-20 -4.2428768888722785e-21 -3.4180106487066994e-24
-1.0619467993748321e-20 -1.3515762536514142e-20 -8.9768724291174791e-21 8.5444900444346695e-24
-1.0007328311846803e-20 3.8556078377066581e-20 1.1662279168525422e-20 1.0898653990254700e-23
-9.1091361535551246e-21 4.3289191212519464e-21 -4.3407522987096872e-21 2.0755520379756766e-23
-8.1317208961623617e-21 3.8938931490749999e-20 5.0531996575011019e-21 2.1020523865814366e-23
-7.0248392888852135e-21 8.2525466958768147e-21 1.7550403916919162e-21 2.6350713202850173e-23
-6.2565194511054641e-21 2.6552559867502482e-20 1.5247202078731634e-21 1.4012158736495067e-23
-5.4750663735335167e-21 6.3133180788929610e-21 -1.0223166735396956e-21 8.7366956533238544e-24
-4.7902533087814707e-21 2.2556764214128353e-20 1.2601792698190848e-21 1.1701716161527334e-24
-4.1505276081899923e-21 3.6262941058142205e-21 -1.3858685380873018e-21 2.3417757637346175e-24
-3.6901867295923961e-21 1.5644005439915478e-20 -1.1507764787464567e-21 2.4093293764842164e-24
-3.3000424015024062e-21 5.2149365919912960e-22 -1.4718157991759998e-21 3.3047377633154693e-24
-2.9860360605199568e-21 1.2025668210791719e-20 -9.8851779157826622e-22 1.7700535826609057e-24
-2.7400685622172031e-21 -1.5493293971990338e-21 -1.3120647232279710e-21 1.3266333605681063e-24
-2.5233879402313015e-21 1.0087490401826358e-20 -1.8764123820264199e-21 2.6742958161107241e-25
-2.3440490189760461e-21 -2.5668161483942138e-21 -1.3521147595266735e-21 7.1167562967154912e-25
-2.2058566481712824e-21 8.2266606065124678e-21 -1.1923183571211133e-21 -9.8701442817116315e-26
-2.0837213468399607e-21 -3.1428244330446706e-21 -1.2347629980069940e-21 1.5658462704452100e-25
-1.9945178767607184e-21 6.9469746906973407e-21 -1.3335801397311428e-21 -3.5115993195921093e-25
-1.9080644284751958e-21 -3.2373329180406270e-21 -1.4406956456047737e-21 -1.2325898269658223e-26
-1.8310439970392735e-21 6.5180638472714564e-21 -1.3507160276495554e-21 -4.1100275419769403e-25
-1.7602604119758647e-21 -3.3132545346966078e-21 -1.4423053601796687e-21 -7.3553214921081204e-26
-1.6923952802627399e-21 6.2429666897560974e-21 -1.3709313460983123e-21 -4.5176446937423646e-25
-1.6447513724747020e-21 -4.0183508300303415e-21 -1.4683931771421308e-21 -1.3832209061341682e-25
-1.6154690261932323e-21 5.4761174484362801e-21 -1.5027028841374351e-21 -4.0568516444514474e-25
-1.5912519224787942e-21 -4.2871814194222499e-21 -1.5199790702256006e-21 -1.4525911512100599e-25
-1.5624684601208365e-21 5.8351086940610926e-21 -1.4731294419763846e-21 -3.6934650037814361e-25
-1.5265097725898776e-21 -4.0917914139070205e-21 -1.5096639142479867e-21 -1.1276165647031928e-25
-1.4922457787159906e-21 6.1399827769540425e-21 -1.4891574933401080e-21 -2.1005694038314487e-25
-1.4565139830683989e-21 -4.2818750024823667e-21 -1.5560868693004709e-21 -1.9997557663018835e-26
-1.4231023334169996e-21 6.5708754874058243e-21 -1.5792886537283171e-21 -1.0197644173066545e-25
-1.3857051862248756e-21 -4.4627949979231436e-21 -1.6373088329019827e-21 3.3605248184866666e-26
-1.3494530886535929e-21 7.2731378994089864e-21 -1.6459920823363575e-21 -6.1612027238576078e-26
