64 64 32
4.4235933955592427e-06 1.2931615535296217e-06 -2.0227629784059805e-10 -4.9630836753181660e-22
4.4588162785457005e-06 1.2902523712147358e-06 -1.4542199556597222e-10 -3.1763735522036263e-22
4.4913412380733983e-06 1.2876951737002950e-06 -1.0140173489301748e-10 -6.4586262228140401e-21
4.5211089677587474e-06 1.2854581460911249e-06 -6.8159757092804142e-11 -8.1328397826213681e-21
4.5480643534551840e-06 1.2835139273014519e-06 -4.3805350371948328e-11 -4.0432588341591993e-21
4.5721568272064908e-06 1.2818391008676562e-06 -2.6616648167237229e-11 8.5166515868459729e-21
4.5933406797994216e-06 1.2804137728753974e-06 -1.5045767943613290e-11 -1.4558378780933287e-21
4.6115753340738127e-06 1.2792212174650374e-06 -7.7238351477726619e-12 -1.0084986028246513e-20
4.6268255807776884e-06 1.2782475945699530e-06 -3.4675482446953714e-12 -1.0171012811952028e-20
4.6390617783993144e-06 1.2774817142963912e-06 -1.2843551193335864e-12 4.1557553974664110e-21
4.6482600181748382e-06 1.2769149070378484e-06 -3.8176777087302990e-13 -6.4917134473161612e-21
4.6544022549326059e-06 1.2765408192149813e-06 -1.5853166984507809e-13 -1.1812139147257235e-20
4.6574764033972270e-06 1.2763550031440751e-06 -1.2327772686084144e-13 1.2268742845386506e-20
1.1611542273068028e-06 5.8439031297689165e-07 -8.8386471253280622e-08 3.5386786605018524e-21
1.1625992666348154e-06 6.1564680399908694e-07 -8.8493246727216897e-08 1.5271408468953997e-20
1.1657119160018950e-06 6.7842053231757328e-07 -8.8708300356208541e-08 2.4252935560054771e-21
1.1709386092855692e-06 7.7322189656880960e-07 -8.9035067565423352e-08 1.1582182936967494e-20
1.1789519214429782e-06 9.0076504758213924e-07 -8.9480801061660238e-08 4.3476612995787135e-21
1.1906525186461220e-06 1.0617955482960678e-06 -9.0061379099783988e-08 -1.1075948402085041e-20
1.2071661216112053e-06 1.2565803929921983e-06 -9.0809088175189341e-08 -3.5568766339780190e-21
1.2298229747147069e-06 1.4837698362473782e-06 -9.1778638538485911e-08 -3.5767289686792917e-21
1.2600956550345029e-06 1.7385239991629428e-06 -9.3039640053883441e-08 -3.1896084420044747e-21
